NB ;Member State ;start date;start time;end date;end time;days;scope;reason;reasons_original;scope_original
1;France;21.10.06;8:00;21.10.06;20:00;0;some borders;demonstration;Youth Days of radical young Basques in Saint-Pée-sur-Nivelle and demonstration organised in Bayonne by the support committee of Philippe Bidart.;FR-ES land border (border crossing point on the highway A63 in Biriatou, St Jacques bridge, Béhobie bridge, Hendaye station)
2;Finland;09.10.06;0:00;21.10.06;23:59;12;some borders;political conference;Informal meeting of Heads of States and Government in Lahti.;Controls mainly at Helsinki-Vantaa, Turku and Tampere- Pirkkala airports and the ports of Helsinki, Hanko and Turku, FI-SE and FI-NO land borders
3;Finland;13.11.06;0:00;29.11.06;23:59;16;some borders;political conference;EUROMED meeting in Tampere.;Controls mainly at Helsinki-Vantaa, Turku and Tampere- Pirkkala airports and the ports of Helsinki, Hanko and Turku, FI-SE and FI-NO land borders
4;France;12.02.07;0:00;16.02.07;23:59;4;some borders;political conference;Conference of Heads of States of Africa and France in Cannes (13-16/2/2007).;FR-IT border (detailed information provided in the notification)
5;Germany;25.05.07;0:00;09.06.07;23:59;15;some borders;political conference;G8 Summit in Pomerania (6-8/6/2007);Heiligendamm/Mecklenburg-Western Land, air and sea borders
6;Iceland;02.11.07;0:00;03.11.07;23:59;1;air borders;other foreseeable event;Participation of MC Hells Angels at the inauguration of the Icelandic Motorcycle club in Reykjavik (1-4/11/2007).;Air borders (14 flights checked from SE, DK, FI, DE and NO)
7;Austria;02.06.08;0:00;01.07.08;23:59;29;land and air borders;sports event;European Football Championship EURO 2008, AT — CH (7/6-29/6/2008).;Land and air borders
8;France;27.09.08;8:00;27.09.08;18:45;0;some borders;demonstration;Demonstration on 27 September at 16:00 in Bayonne, supervised by Batasuna.;Five FR-ES border crossing points (Hendaye: highway A63, St Jacques international bridge, Béhobie international bridge, Hendaye station, port of Hendaye)
9;Finland;24.11.08;0:00;05.12.08;23:59;11;some borders;political conference;Meeting of Council of Ministers of OSCE in Helsinki (4- 5/12/2008).;Controls mainly at Helsinki-Vantaa airport and at ports of Helsinki and Turku
10;Iceland;05.03.09;0:00;07.03.09;23:59;2;air borders;other foreseeable event;Visit of MC Hells Angels to the Icelandic Motorcycle club in Reykjavik.;Air borders (16 flights checked from SE, DK, NL, FR, DE, and NO)
11;Germany;20.03.09;0:00;05.04.09;23:59;16;all borders;political conference;NATO Summit in Strasbourg, Baden-Baden and Kehl (3- 4/4/2009).;Land, air and sea borders
12;France;30.03.09;0:00;05.04.09;23:59;6;Land and air borders;political conference;NATO Summit in Strasbourg (3-4/4/2009);Land and air borders with BE, LU, DE, CH, IT and ES
13;Italy;28.06.09;0:00;15.07.09;23:59;17;all borders;political conference;G8 Summit in L’Aquila (10-12/7/2009);Land, air and sea borders
14;France;19.09.09;13:00;19.09.09;19:40;0;some borders;other foreseeable event;Demonstration by Batasuna in Bayonne.;Five FR-ES border crossing points (highway A63, St Jacques international bridge , Béhobie international bridge, Hendaye station, port of Hendaye)
15;Spain;26.09.09;0:00;27.09.09;23:59;1;some borders;other foreseeable event;Celebration of ‘Basque Warrior day’ in the Basque Country and Navarra (ES) and in Pyrénées-Orientales (FR);ES-FR land borders in the provinces of Guipuzcoa and Navarra
16;France;27.09.09;0:00;27.09.09;23:59;0;some borders;other foreseeable event;50th Anniversary of ETA.;FR-ES land borders, BCP border complex from Hendaye to Arneguy (14 border crossing points).
17;Norway;27.11.09;0:00;12.12.09;23:59;15;;political conference;Nobel Peace Prize Ceremony in Oslo (10/12/2009).;
18;Denmark;01.12.09;0:00;18.12.09;23:59;17;some borders;political conference;UN Climate Change Conference in Copenhagen (7- 18/12/2009).;DK-DE and DK-SE borders
19;Malta;05.04.10;0:00;18.04.10;23:59;13;;other foreseeable event;Visit of Pope Benedict XVI (17-18/04/2010);
20;Estonia;17.04.10;0:00;23.04.10;23:59;6;;political conference;Informal meeting of NATO Foreign Ministers in Tallinn (22- 23/04/2010).;
21;France;28.05.10;0:00;02.06.10;23:59;5;;political conference;Franco-African Summit in Nice (31/05-01/06/2010).;
22;Latvia;24.05.10;0:00;01.06.10;23:59;8;;political conference;NATO Parliamentary Assembly in Riga (28/05-01/06/2010).;
23;Portugal;16.11.10;0:00;20.11.10;23:59;4;;political conference;NATO Summit in Lisbon (19/11/-20/11);
24;Austria;04.06.11;0:00;09.06.11;23:59;5;;political conference;World Economic Forum (07/06/-09/06/2011);
25;Norway;22.07.11;17:23;25.07.11;17:00;3;;terrorism;Bomb explosion in Oslo and shooting on the island Utøya on 22/07/2011;
26;Sweden;22.07.11;23:00;23.07.11;9:00;1;;terrorism;Bomb explosion in Oslo and shooting on the island Utøya on 22/07/2011;
27;France;24.10.11;0:00;05.11.11;23:59;12;;political conference;G-20 meeting in Cannes (03-04/11/2011);
28;Spain;02.05.12;0:00;04.05.12;23:59;2;;political conference;Meeting of the Governing Council of the European Central Bank in Barcelona;
29;Poland;04.06.12;0:00;01.07.12;23:59;27;all borders;sports event;Euro 2012 Football Championships (8/6-1/7/2012);All internal borders
30;Norway;03.12.12;0:00;12.12.12;23:59;9;;other foreseeable event;Nobel Peace Prize ceremony in Oslo (10/12/2012);
31;Poland;08.11.13;0:00;23.11.13;23:59;15;all borders;political conference;19th session of the Conference of the Parties to the UN Framework Convention on Climate Change (UNFCCC), the 9th session of the Conference of the Parties serving as the Meeting of the Parties to the Kyoto Protocol and the 39th Session of the Subsidiary Bodies in Warsaw (11-22/11/2013);All internal borders
32;Netherlands;14.03.14;0:00;28.03.14;23:59;14;;political conference;Netherlands on 14-28 March 2014 Nuclear Security Summit in the Hague;
33;Belgium;01.06.14;0:00;06.06.14;23:59;5;;political conference;G7 Summit;
34;Norway;24.07.14;0:00;31.07.14;23:59;7;;terrorism;terrorist threat;
35;Estonia;31.08.14;0:00;03.09.14;23:59;3;;other foreseeable event;Visit of the US President;
36;Germany;16.05.15;0:00;15.06.15;23:59;30;;other foreseeable event;G7 Summit;
37;Germany;02.11.15;0:00;13.11.15;23:59;11;all borders;migration;Big influx of persons seeking international protection;all borders with focus on Austrian land borders
38;Germany;13.10.15;0:00;01.11.15;23:59;19;all borders;migration;Big influx of persons seeking international protection;all borders with focus on Austrian land borders
39;Germany;23.09.15;0:00;12.10.15;23:59;19;all borders;migration;Big influx of persons seeking international protection;all borders with focus on Austrian land borders
40;Germany;13.09.15;0:00;22.09.15;23:59;9;all borders;migration;Big influx of persons seeking international protection;all borders with focus on Austrian land borders
41;Austria;05.11.15;0:00;15.11.15;23:59;10;all borders;migration;Big influx of persons seeking international protection;all borders, focus on land borders with Italy, Hungary, Slovenia and Slovakia
42;Austria;16.10.15;0:00;04.11.15;23:59;19;all borders;migration;Big influx of persons seeking international protection;all borders, focus on land borders with Italy, Hungary, Slovenia and Slovakia
43;Austria;26.09.15;0:00;15.10.15;23:59;19;all borders;migration;Big influx of persons seeking international protection;all borders, focus on land borders with Italy, Hungary, Slovenia and Slovakia
44;Austria;16.09.15;0:00;25.09.15;23:59;9;all borders;migration;Big influx of persons seeking international protection;all borders, focus on land borders with Italy, Hungary, Slovenia and Slovakia
45;Slovenia;27.09.15;0:00;16.10.15;23:59;19;some borders;migration;Big influx of persons seeking international protection;land borders with Hungary
46;Slovenia;17.09.15;0:00;26.09.15;23:59;9;some borders;migration;Big influx of persons seeking international protection;land borders with Hungary
47;Hungary;17.10.15;0:00;26.10.15;23:59;9;some borders;migration;Big influx of persons seeking international protection;land borders with Slovenia
48;Malta;09.11.15;0:00;31.12.15;23:59;52;air and sea borders;political conference;Valetta Conference on Migration and Commonwealth Heads of Government Meeting Terrorist threat and smuggling of illegal migrants;Air and sea passanger terminal
49;Sweden;12.11.15;0:00;09.01.16;23:59;58;all borders;migration;Unprecedented influx of persons;All borders, with special focus on harbours in Police Region South and Police Region West as well as on the Öresund Bridge between Denmark and Sweden.
50;France;13.11.15;0:00;13.12.15;23:59;30;land and air borders;political conference;21st UN Conference on Climate Change from 30 November to 11 December 2015,;internal land borders and air borders
51;Germany;14.11.15;0:00;13.05.16;23:59;181;all borders;migration;Continuous big influx of persons seeking international protection;All borders, with focus on the German-Austrian land border
52;Austria;16.11.15;0:00;16.05.16;23:59;182;all borders;migration;Continuous big influx of persons seeking international protection;"All borders, with special focus on the land border with Slovenia, Hungary and Italy, subject to possible changes ; The border can be crossed only at authorised border crossing points (the list attached)"
53;Norway;26.11.15;0:00;15.01.16;23:59;50;all borders;migration;Unexpected migratory flow;All borders with focus on ports with ferry connections to Norway via internal borders
54;France;14.12.15;0:00;26.05.16;23:59;164;all borders;terrorism;In relation to the emergency state as introduced further to Paris attacks;All internal borders
55;Denmark;04.01.16;0:00;03.03.16;23:59;59;all borders;migration;Unexpected migratory flow;All internal borders, with focus on ferries from Germany and land border with Germany.
56;Sweden;10.01.16;0:00;07.06.16;23:59;149;all borders;migration;Continuous big influx of persons seeking international protection;All borders, with special focus on harbours in Police Region South and Police Region West as well as on the Öresund Bridge between Denmark and Sweden.
57;Norway;15.01.16;0:00;11.06.16;23:59;148;all borders;migration;Continues threat of big influx of persons seeking international protection;All borders with focus on ports with ferry connections to Norway via internal borders
58;Denmark;04.03.16;0:00;02.06.16;23:59;90;all borders;migration;Big influx of persons seeking international protection;All internal borders, with focus on ferries from Germany and land border with Germany.
59;Belgium;23.02.16;0:00;22.04.16;23:59;59;some borders;migration;Irregular migrants attempting to travel to UK;Border between the Province of West-Vlaanderen and France
60;France;27.05.16;0:00;26.07.16;23:59;60;all borders;sports event;EURO 2016, Tour de France;All internal borders
