Year;Eastern European Land borders;Eastern Mediterranean route;Western Balkans route;Central Mediterranean route;Western Mediterranean route;Summe
2018;1084;56561;5869;23485;57034;144033
2017;872;42319;12179;118962;23063;197395
2016;1384;182277;130325;181376;9990;505352
2015;1927;885386;764033;153946;7004;1812296
2014;1275;50834;43357;170664;7243;273373
2013;1300;24800;19950;40000;6800;92850
2012;1600;37200;6390;15900;6400;67490
2011;1050;57000;4650;64300;840;127840
2010;1050;55700;2370;4500;5000;68620
2009;1050;40000;3090;11000;6650;61790
2008;1335;52300;;39800;6500;99935
